Номер,Наименование перевозчика,Номер маршрута,"Марка, модель автобуса",Тип вместимости (ОБ БВ СВ),Год выпуска автобуса,Класс экологической безопасности,Государственный регистрационный знак
1323,"ООО ""Питеравто""",378,ЛиАЗ 529360,БВ,2013,Евро 4,В 223 ОН 178
1324,"ООО ""Питеравто""",337А,ЛиАЗ 529360,БВ,2013,Евро 4,В 155 ОС 178
1325,"ООО ""Питеравто""",338,ЛиАЗ 529360,БВ,2013,Евро 4,В 228 ОН 178
1326,"ООО ""Питеравто""",191,ЛиАЗ 529360,БВ,2013,Евро 4,В 201 ОН 178
1327,"ООО ""Питеравто""",191,ЛиАЗ 529360,БВ,2013,Евро 4,В 247 ОН 178
1328,"ООО ""Питеравто""",191,ЛиАЗ 529360,БВ,2013,Евро 4,В 188 ОН 178
1329,"ООО ""Питеравто""",374,ЛиАЗ 529360,БВ,2013,Евро 4,В 229 ОН 178
1330,"ООО ""Питеравто""",374,ЛиАЗ 529360,БВ,2013,Евро 4,В 178 ОН 178
1331,"ООО ""Питеравто""",370,ЛиАЗ 529360,БВ,2013,Евро 4,В 179 ОС 178
1332,"ООО ""Питеравто""",191,ЛиАЗ 529360,БВ,2013,Евро 4,В 193 ОН 178
1333,"ООО ""Питеравто""",374,ЛиАЗ 529360,БВ,2013,Евро 4,В 181 ОС 178
1334,"ООО ""Питеравто""",191,ЛиАЗ 529360,БВ,2013,Евро 4,В 152 ОС 178
1335,"ООО ""Питеравто""",384,ЛиАЗ 529360,БВ,2013,Евро 4,В 174 ОС 178
1336,"ООО ""Питеравто""",376,ЛиАЗ 529360,БВ,2013,Евро 4,В 175 ОС 178
1337,"ООО ""Питеравто""",191,ЛиАЗ 529360,БВ,2013,Евро 4,В 243 ОН 178
1338,"ООО ""Питеравто""",179,ЛиАЗ 529360,БВ,2013,Евро 4,В 220 ОН 178
1339,"ООО ""Питеравто""",380,ЛиАЗ 529360,БВ,2013,Евро 4,В 153 ОС 178
1340,"ООО ""Питеравто""",438,ЛиАЗ 529360,БВ,2013,Евро 4,В 183 ОН 178
1341,"ООО ""Питеравто""",191,ЛиАЗ 529360,БВ,2013,Евро 4,В 189 ОН 178
1342,"ООО ""Питеравто""",191,ЛиАЗ 529360,БВ,2013,Евро 4,В 157 ОС 178
1343,"ООО ""Питеравто""",4,ЛиАЗ 529360,БВ,2013,Евро 4,В 160 ОС 178
1344,"ООО ""Питеравто""",191,ЛиАЗ 529360,БВ,2013,Евро 4,В 159 ОС 178
1345,"ООО ""Питеравто""",160,ЛиАЗ 529360,БВ,2013,Евро 4,В 958 ОС 178
1346,"ООО ""Питеравто""",192,ЛиАЗ 529360,БВ,2013,Евро 4,В 956 ОС 178
1347,"ООО ""Питеравто""",191,ЛиАЗ 529360,БВ,2013,Евро 4,В 957 ОС 178
1348,"ООО ""Питеравто""",191,ЛиАЗ 529360,БВ,2013,Евро 4,В 955 ОС 178
1349,"ООО ""Питеравто""",152,ЛиАЗ 529360,БВ,2013,Евро 4,В 960 ОС 178
1350,"ООО ""Питеравто""",493,ЛиАЗ 525660,БВ,2013,Евро 4,Р 451 СР 178
1351,"ООО ""Питеравто""",438З,ЛиАЗ 525660,БВ,2013,Евро 4,В 081 СС 178
1352,"ООО ""Питеравто""",545,ЛиАЗ 525660,БВ,2013,Евро 4,Р 612 СР 178
1353,"ООО ""Питеравто""",545,ЛиАЗ 525660,БВ,2013,Евро 4,Р 614 СР 178
1354,"ООО ""Питеравто""",438,ЛиАЗ 525660,БВ,2013,Евро 4,Р 615 СР 178
1355,"ООО ""Питеравто""",438,ЛиАЗ 525660,БВ,2013,Евро 4,Р 616 СР 178
1356,"ООО ""Питеравто""",540,ЛиАЗ 525660,БВ,2013,Евро 4,Р 617 СР 178
1357,"ООО ""Питеравто""",438З,ЛиАЗ 525660,БВ,2013,Евро 4,В 094 СС 178
1358,"ООО ""Питеравто""",438З,ЛиАЗ 525660,БВ,2013,Евро 4,В 092 СС 178
1359,"ООО ""Питеравто""",438З,ЛиАЗ 525660,БВ,2013,Евро 4,В 091 СС 178
1360,"ООО ""Питеравто""",493,ЛиАЗ 525660,БВ,2013,Евро 4,Р 452 СР 178
1361,"ООО ""Питеравто""",544,ЛиАЗ 525660,БВ,2013,Евро 4,Р 618 СР 178
1362,"ООО ""Питеравто""",438З,ЛиАЗ 525660,БВ,2013,Евро 4,В 089 СС 178
1363,"ООО ""Питеравто""",493,ЛиАЗ 525660,БВ,2013,Евро 4,Р 453 СР 178
1364,"ООО ""Питеравто""",438З,ЛиАЗ 525660,БВ,2013,Евро 4,В 087 СС 178
1365,"ООО ""Питеравто""",179,ЛиАЗ 529360,БВ,2013,Евро 4,Р 465 СР 178
1366,"ООО ""Питеравто""",273,ЛиАЗ 529360,БВ,2013,Евро 4,Р 466 СР 178
1367,"ООО ""Питеравто""",376,ЛиАЗ 529360,БВ,2013,Евро 4,Р 471 СР 178
1368,"ООО ""Питеравто""",331,ЛиАЗ 529360,БВ,2013,Евро 4,Р 586 СР 178
1369,"ООО ""Питеравто""",332,ЛиАЗ 529360,БВ,2013,Евро 4,Р 587 СР 178
1370,"ООО ""Питеравто""",335,ЛиАЗ 529360,БВ,2013,Евро 4,Р 588 СР 178
1371,"ООО ""Питеравто""",335А,ЛиАЗ 529360,БВ,2013,Евро 4,Р 589 СР 178
1372,"ООО ""Питеравто""",335А,ЛиАЗ 529360,БВ,2013,Евро 4,Р 590 СР 178
1373,"ООО ""Питеравто""",273,ЛиАЗ 529360,БВ,2013,Евро 4,Р 467 СР 178
1374,"ООО ""Питеравто""",374,ЛиАЗ 529360,БВ,2013,Евро 4,Р 469 СР 178
1375,"ООО ""Питеравто""",378,ЛиАЗ 529360,БВ,2013,Евро 4,Р 470 СР 178
1376,"ООО ""Питеравто""",374,ЛиАЗ 529360,БВ,2013,Евро 4,Р 472 СР 178
1377,"ООО ""Питеравто""",372,ЛиАЗ 529360,БВ,2013,Евро 4,Р 473 СР 178
1378,"ООО ""Питеравто""",366,ЛиАЗ 529360,БВ,2013,Евро 4,Р 591 СР 178
1379,"ООО ""Питеравто""",366,ЛиАЗ 529360,БВ,2013,Евро 4,Р 592 СР 178
1380,"ООО ""Питеравто""",335А,ЛиАЗ 529360,БВ,2013,Евро 4,Р 355 СР 178
1381,"ООО ""Питеравто""",335А,ЛиАЗ 529360,БВ,2013,Евро 4,Р 359 СР 178
1382,"ООО ""Питеравто""",376,ЛиАЗ 529360,БВ,2013,Евро 4,Р 531 СР 178
1383,"ООО ""Питеравто""",192,ЛиАЗ 529360,БВ,2013,Евро 4,Р 530 СР 178
1384,"ООО ""Питеравто""",337,ЛиАЗ 529360,БВ,2013,Евро 4,Р 361 СР 178
1385,"ООО ""Питеравто""",164,ЛиАЗ 529360,БВ,2013,Евро 4,Р 525 СР 178
1386,"ООО ""Питеравто""",179,ЛиАЗ 529360,БВ,2013,Евро 4,Р 524 СР 178
1387,"ООО ""Питеравто""",337,ЛиАЗ 529360,БВ,2013,Евро 4,Р 362 СР 178
1388,"ООО ""Питеравто""",376,ЛиАЗ 529360,БВ,2013,Евро 4,Р 518 СР 178
1389,"ООО ""Питеравто""",160,ЛиАЗ 529360,БВ,2013,Евро 4,Р 519 СР 178
1390,"ООО ""Питеравто""",337,ЛиАЗ 529360,БВ,2013,Евро 4,Р 360 СР 178
1391,"ООО ""Питеравто""",382,ЛиАЗ 529360,БВ,2013,Евро 4,Р 523 СР 178
1392,"ООО ""Питеравто""",335,ЛиАЗ 529360,БВ,2013,Евро 4,Р 593 СР 178
1393,"ООО ""Питеравто""",367,ЛиАЗ 529360,БВ,2013,Евро 4,Р 594 СР 178
1394,"ООО ""Питеравто""",34,ЛиАЗ 529360,БВ,2013,Евро 4,Р 522 СР 178
1395,"ООО ""Питеравто""",179,ЛиАЗ 529360,БВ,2013,Евро 4,Р 521 СР 178
1396,"ООО ""Питеравто""",367,ЛиАЗ 529360,БВ,2013,Евро 4,Р 595 СР 178
1397,"ООО ""Питеравто""",179,ЛиАЗ 529360,БВ,2013,Евро 4,Р 520 СР 178
1398,"ООО ""Питеравто""",367,ЛиАЗ 529360,БВ,2013,Евро 4,Р 596 СР 178
1399,"ООО ""Питеравто""",367,ЛиАЗ 529360,БВ,2013,Евро 4,Р 597 СР 178
1400,"ООО ""Питеравто""",368,ЛиАЗ 529360,БВ,2013,Евро 4,Р 598 СР 178
1401,"ООО ""Питеравто""",337,ЛиАЗ 529360,БВ,2013,Евро 4,Р 358 СР 178
1402,"ООО ""Питеравто""",368,ЛиАЗ 529360,БВ,2013,Евро 4,Р 601 СР 178
1403,"ООО ""Питеравто""",368,ЛиАЗ 529360,БВ,2013,Евро 4,Р 603 СР 178
1404,"ООО ""Питеравто""",368,ЛиАЗ 529360,БВ,2013,Евро 4,Р 599 СР 178
1405,"ООО ""Питеравто""",386,ЛиАЗ 529360,БВ,2013,Евро 4,Р 604 СР 178
1406,"ООО ""Питеравто""",374,ЛиАЗ 529360,БВ,2013,Евро 4,Р 511 СР 178
1407,"ООО ""Питеравто""",386,ЛиАЗ 529360,БВ,2013,Евро 4,Р 605 СР 178
1408,"ООО ""Питеравто""",386,ЛиАЗ 529360,БВ,2013,Евро 4,Р 606 СР 178
1409,"ООО ""Питеравто""",179,ЛиАЗ 529360,БВ,2013,Евро 4,Р 510 СР 178
1410,"ООО ""Питеравто""",386,ЛиАЗ 529360,БВ,2013,Евро 4,Р 610 СР 178
1411,"ООО ""Питеравто""",386,ЛиАЗ 529360,БВ,2013,Евро 4,Р 609 СР 178
1412,"ООО ""Питеравто""",179,ЛиАЗ 529360,БВ,2013,Евро 4,Р 508 СР 178
1413,"ООО ""Питеравто""",337,ЛиАЗ 529360,БВ,2013,Евро 4,Р 354 СР 178
1414,"ООО ""Питеравто""",390,ЛиАЗ 529360,БВ,2013,Евро 4,В 084 СС 178
1415,"ООО ""Питеравто""",383,ЛиАЗ 529360,БВ,2013,Евро 4,Р 043 СТ 178
1416,"ООО ""Питеравто""",188,ЛиАЗ 529360,БВ,2013,Евро 4,Р 037 СТ 178
1417,"ООО ""Питеравто""",369,ЛиАЗ 529360,БВ,2013,Евро 4,Р 044 СТ 178
1418,"ООО ""Питеравто""",368,ЛиАЗ 529360,БВ,2013,Евро 4,Р 040 СТ 178
1419,"ООО ""Питеравто""",376,ЛиАЗ 529360,БВ,2013,Евро 4,Р 925 СР 178
1420,"ООО ""Питеравто""",367,ЛиАЗ 529360,БВ,2013,Евро 4,Р 929 СР 178
1421,"ООО ""Питеравто""",335,ЛиАЗ 529360,БВ,2013,Евро 4,Р 928 СР 178
1422,"ООО ""Питеравто""",53,ЛиАЗ 529360,БВ,2013,Евро 4,Р 922 СР 178
1423,"ООО ""Питеравто""",53,ЛиАЗ 529360,БВ,2013,Евро 4,Р 039 СТ 178
1424,"ООО ""Питеравто""",97А,ЛиАЗ 529360,БВ,2013,Евро 4,Р 924 СР 178
1425,"ООО ""Питеравто""",386,ЛиАЗ 529360,БВ,2013,Евро 4,Р 937 СР 178
1426,"ООО ""Питеравто""",67,ЛиАЗ 529360,БВ,2013,Евро 4,Р 930 СР 178
1427,"ООО ""Питеравто""",151,ЛиАЗ 529360,БВ,2013,Евро 4,Р 927 СР 178
1428,"ООО ""Питеравто""",386,ЛиАЗ 529360,БВ,2013,Евро 4,Р 934 СР 178
1429,"ООО ""Питеравто""",152,ЛиАЗ 529360,БВ,2013,Евро 4,Р 038 СТ 178
1430,"ООО ""Питеравто""",4,ЛиАЗ 529360,БВ,2013,Евро 4,Р 933 СР 178
1431,"ООО ""Питеравто""",К-296,ПАЗ 320412-05,СВ,2011,Евро 3,В 273 ВН 178
1432,"ООО ""Питеравто""",К-354,ПАЗ 320412-05,СВ,2011,Евро 3,В 055 ЕВ 178
1433,"ООО ""Питеравто""",К-293А,ПАЗ 320412-05,СВ,2011,Евро 3,В 056 ЕВ 178
1434,"ООО ""Питеравто""",К-296,ПАЗ 320412-05,СВ,2011,Евро 3,В 062 ЕВ 178
1435,"ООО ""Питеравто""",К-6,ПАЗ 320412-05,СВ,2012,Евро 3,В 925 КС 178
1436,"ООО ""Питеравто""",К-6,ПАЗ 320412-05,СВ,2012,Евро 3,В 012 МО 178
1437,"ООО ""Питеравто""",К-6,ПАЗ 320412-05,СВ,2012,Евро 3,В 016 МО 178
1438,"ООО ""Питеравто""",К-6,ПАЗ 320412-05,СВ,2012,Евро 3,В 015 МО 178
1439,"ООО ""Питеравто""",К-6,ПАЗ 320412-05,СВ,2012,Евро 3,В 924 КС 178
1440,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 036 МО 178
1441,"ООО ""Питеравто""",К-401,ПАЗ 320412-05,СВ,2012,Евро 3,В 039 МО 178
1442,"ООО ""Питеравто""",К-227,ПАЗ 320412-05,СВ,2012,Евро 3,В 062 МО 178
1443,"ООО ""Питеравто""",320,ПАЗ 320412-05,СВ,2012,Евро 3,В 063 МО 178
1444,"ООО ""Питеравто""",320,ПАЗ 320412-05,СВ,2012,Евро 3,В 076 МО 178
1445,"ООО ""Питеравто""",320,ПАЗ 320412-05,СВ,2012,Евро 3,В 075 МО 178
1446,"ООО ""Питеравто""",320,ПАЗ 320412-05,СВ,2012,Евро 3,В 074 МО 178
1447,"ООО ""Питеравто""",320,ПАЗ 320412-05,СВ,2012,Евро 3,В 073 МО 178
1448,"ООО ""Питеравто""",К-202,ПАЗ 320412-05,СВ,2012,Евро 3,В 069 МО 178
1449,"ООО ""Питеравто""",К-227,ПАЗ 320412-05,СВ,2012,Евро 3,В 067 МО 178
1450,"ООО ""Питеравто""",К-227,ПАЗ 320412-05,СВ,2012,Евро 3,В 066 МО 178
1451,"ООО ""Питеравто""",К-227,ПАЗ 320412-05,СВ,2012,Евро 3,В 065 МО 178
1452,"ООО ""Питеравто""",К-227,ПАЗ 320412-05,СВ,2012,Евро 3,В 079 МО 178
1453,"ООО ""Питеравто""",К-227,ПАЗ 320412-05,СВ,2012,Евро 3,В 064 МО 178
1454,"ООО ""Питеравто""",К-202,ПАЗ 320412-05,СВ,2012,Евро 3,В 239 МО 178
1455,"ООО ""Питеравто""",К-6,ПАЗ 320412-05,СВ,2012,Евро 3,В 240 МО 178
1456,"ООО ""Питеравто""",К-6,ПАЗ 320412-05,СВ,2012,Евро 3,В 241 МО 178
1457,"ООО ""Питеравто""",К-227,ПАЗ 320412-05,СВ,2012,Евро 3,В 242 МО 178
1458,"ООО ""Питеравто""",К-227,ПАЗ 320412-05,СВ,2012,Евро 3,В 246 МО 178
1459,"ООО ""Питеравто""",К-227,ПАЗ 320412-05,СВ,2012,Евро 3,В 248 МО 178
1460,"ООО ""Питеравто""",К-6,ПАЗ 320412-05,СВ,2012,Евро 3,В 250 МО 178
1461,"ООО ""Питеравто""",К-6,ПАЗ 320412-05,СВ,2012,Евро 3,В 251 МО 178
1462,"ООО ""Питеравто""",К-6,ПАЗ 320412-05,СВ,2012,Евро 3,В 252 МО 178
1463,"ООО ""Питеравто""",К-6,ПАЗ 320412-05,СВ,2012,Евро 3,В 244 МО 178
1464,"ООО ""Питеравто""",К-227,ПАЗ 320412-05,СВ,2012,Евро 3,В 258 МО 178
1465,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 243 МО 178
1466,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 254 МО 178
1467,"ООО ""Питеравто""",К-227,ПАЗ 320412-05,СВ,2012,Евро 3,В 255 МО 178
1468,"ООО ""Питеравто""",К-227,ПАЗ 320412-05,СВ,2012,Евро 3,В 277 МО 178
1469,"ООО ""Питеравто""",К-227,ПАЗ 320412-05,СВ,2012,Евро 3,В 289 МО 178
1470,"ООО ""Питеравто""",К-227,ПАЗ 320412-05,СВ,2012,Евро 3,В 290 МО 178
1471,"ООО ""Питеравто""",К-25,ПАЗ 320412-05,СВ,2012,Евро 3,В 301 МО 178
1472,"ООО ""Питеравто""",К-6,ПАЗ 320412-05,СВ,2012,Евро 3,В 305 МО 178
1473,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 306 МО 178
1474,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 308 МО 178
1475,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 310 МО 178
1476,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 311 МО 178
1477,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 313 МО 178
1478,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 312 МО 178
1479,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 314 МО 178
1480,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 317 МО 178
1481,"ООО ""Питеравто""",К-56,ПАЗ 320412-05,СВ,2012,Евро 3,В 343 МО 178
1482,"ООО ""Питеравто""",К-6,ПАЗ 320412-05,СВ,2012,Евро 3,В 383 МО 178
1483,"ООО ""Питеравто""",К-6,ПАЗ 320412-05,СВ,2012,Евро 3,В 385 МО 178
1484,"ООО ""Питеравто""",К-227,ПАЗ 320412-05,СВ,2012,Евро 3,В 406 МО 178
1485,"ООО ""Питеравто""",К-25,ПАЗ 320412-05,СВ,2012,Евро 3,В 387 МО 178
1486,"ООО ""Питеравто""",К-6,ПАЗ 320412-05,СВ,2012,Евро 3,В 395 МО 178
1487,"ООО ""Питеравто""",К-227,ПАЗ 320412-05,СВ,2012,Евро 3,В 451 МО 178
1488,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 444 МО 178
1489,"ООО ""Питеравто""",К-6,ПАЗ 320412-05,СВ,2012,Евро 3,В 436 МО 178
1490,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 438 МО 178
1491,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 434 МО 178
1492,"ООО ""Питеравто""",K-6,ПАЗ 320412-05,СВ,2012,Евро 3,В 429 МО 178
1493,"ООО ""Питеравто""",326,ПАЗ 320412-05,СВ,2012,Евро 3,В 459 МО 178
1494,"ООО ""Питеравто""",326,ПАЗ 320412-05,СВ,2012,Евро 3,В 456 МО 178
1495,"ООО ""Питеравто""",К-401,ПАЗ 320412-05,СВ,2012,Евро 3,В 029 НВ 178
1496,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 491 МО 178
1497,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 490 МО 178
1498,"ООО ""Питеравто""",К-401,ПАЗ 320412-05,СВ,2012,Евро 3,В 493 МО 178
1499,"ООО ""Питеравто""",К-401,ПАЗ 320412-05,СВ,2012,Евро 3,В 403 ОВ 178
1500,"ООО ""Питеравто""",К-401,ПАЗ 320412-05,СВ,2012,Евро 3,В 475 МО 178
1501,"ООО ""Питеравто""",К-401,ПАЗ 320412-05,СВ,2012,Евро 3,В 481 МО 178
1502,"ООО ""Питеравто""",К-401,ПАЗ 320412-05,СВ,2012,Евро 3,В 482 МО 178
1503,"ООО ""Питеравто""",К-202,ПАЗ 320412-05,СВ,2012,Евро 3,В 483 МО 178
1504,"ООО ""Питеравто""",К-401,ПАЗ 320412-05,СВ,2012,Евро 3,В 485 МО 178
1505,"ООО ""Питеравто""",К-401,ПАЗ 320412-05,СВ,2012,Евро 3,В 486 МО 178
1506,"ООО ""Питеравто""",К-401,ПАЗ 320412-05,СВ,2012,Евро 3,В 487 МО 178
1507,"ООО ""Питеравто""",К-401,ПАЗ 320412-05,СВ,2012,Евро 3,В 488 МО 178
1508,"ООО ""Питеравто""",К-401,ПАЗ 320412-05,СВ,2012,Евро 3,В 489 МО 178
1509,"ООО ""Питеравто""",К-25,ПАЗ 320412-05,СВ,2012,Евро 3,В 043 НВ 178
1510,"ООО ""Питеравто""",К-401,ПАЗ 320412-05,СВ,2012,Евро 3,В 030 НВ 178
1511,"ООО ""Питеравто""",К-25,ПАЗ 320412-05,СВ,2012,Евро 3,В 032 НВ 178
1512,"ООО ""Питеравто""",К-25,ПАЗ 320412-05,СВ,2012,Евро 3,В 033 НВ 178
1513,"ООО ""Питеравто""",К-25,ПАЗ 320412-05,СВ,2012,Евро 3,В 034 НВ 178
1514,"ООО ""Питеравто""",К-25,ПАЗ 320412-05,СВ,2012,Евро 3,В 035 НВ 178
1515,"ООО ""Питеравто""",К-25,ПАЗ 320412-05,СВ,2012,Евро 3,В 906 НЕ 178
1516,"ООО ""Питеравто""",К-25,ПАЗ 320412-05,СВ,2012,Евро 3,В 903 НЕ 178
1517,"ООО ""Питеравто""",К-25,ПАЗ 320412-05,СВ,2012,Евро 3,В 904 НЕ 178
1518,"ООО ""Питеравто""",К-56,ПАЗ 320412-05,СВ,2012,Евро 3,В 905 НЕ 178
1519,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 927 НЕ 178
1520,"ООО ""Питеравто""",К-25,ПАЗ 320412-05,СВ,2012,Евро 3,В 908 НЕ 178
1521,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 928 НЕ 178
1522,"ООО ""Питеравто""",К-25,ПАЗ 320412-05,СВ,2012,Евро 3,В 909 НЕ 178
1523,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 940 НЕ 178
1524,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 926 НЕ 178
1525,"ООО ""Питеравто""",К-56,ПАЗ 320412-05,СВ,2012,Евро 3,В 910 НЕ 178
1526,"ООО ""Питеравто""",К-25,ПАЗ 320412-05,СВ,2012,Евро 3,В 911 НЕ 178
1527,"ООО ""Питеравто""",К-25,ПАЗ 320412-05,СВ,2012,Евро 3,В 912 НЕ 178
1528,"ООО ""Питеравто""",К-56,ПАЗ 320412-05,СВ,2012,Евро 3,В 913 НЕ 178
1529,"ООО ""Питеравто""",К-25,ПАЗ 320412-05,СВ,2012,Евро 3,В 914 НЕ 178
1530,"ООО ""Питеравто""",К-25,ПАЗ 320412-05,СВ,2012,Евро 3,В 915 НЕ 178
1531,"ООО ""Питеравто""",К-56,ПАЗ 320412-05,СВ,2012,Евро 3,В 916 НЕ 178
1532,"ООО ""Питеравто""",К-25,ПАЗ 320412-05,СВ,2012,Евро 3,В 917 НЕ 178
1533,"ООО ""Питеравто""",К-56,ПАЗ 320412-05,СВ,2012,Евро 3,В 918 НЕ 178
1534,"ООО ""Питеравто""",К-56,ПАЗ 320412-05,СВ,2012,Евро 3,В 919 НЕ 178
1535,"ООО ""Питеравто""",К-56,ПАЗ 320412-05,СВ,2012,Евро 3,В 920 НЕ 178
1536,"ООО ""Питеравто""",К-56,ПАЗ 320412-05,СВ,2012,Евро 3,В 921 НЕ 178
1537,"ООО ""Питеравто""",К-339,ПАЗ 320412-05,СВ,2012,Евро 3,В 929 НЕ 178
1538,"ООО ""Питеравто""",К-56,ПАЗ 320412-05,СВ,2012,Евро 3,В 922 НЕ 178
1539,"ООО ""Питеравто""",К-56,ПАЗ 320412-05,СВ,2012,Евро 3,В 930 НЕ 178
1540,"ООО ""Питеравто""",К-56,ПАЗ 320412-05,СВ,2012,Евро 3,В 931 НЕ 178
1541,"ООО ""Питеравто""",К-401,ПАЗ 320412-05,СВ,2012,Евро 3,В 932 НЕ 178
1542,"ООО ""Питеравто""",К-56,ПАЗ 320412-05,СВ,2012,Евро 3,В 933 НЕ 178
1543,"ООО ""Питеравто""",К-56,ПАЗ 320412-05,СВ,2012,Евро 3,В 934 НЕ 178
1544,"ООО ""Питеравто""",К-56,ПАЗ 320412-05,СВ,2012,Евро 3,В 923 НЕ 178
1545,"ООО ""Питеравто""",387,ПАЗ 320402-05,СВ,2012,Евро 3,В 957 НЕ 178
1546,"ООО ""Питеравто""",К-118,ПАЗ 320402-05,СВ,2012,Евро 3,В 958 НЕ 178
1547,"ООО ""Питеравто""",К-268,ПАЗ 320402-05,СВ,2012,Евро 3,В 320 ОА 178
1548,"ООО ""Питеравто""",316,ПАЗ 320402-05,СВ,2012,Евро 3,В 964 НЕ 178
1549,"ООО ""Питеравто""",К-118,ПАЗ 320402-05,СВ,2012,Евро 3,В 959 НЕ 178
1550,"ООО ""Питеравто""",К-268,ПАЗ 320402-05,СВ,2012,Евро 3,В 995 НЕ 178
1551,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 031 НН 178
1552,"ООО ""Питеравто""",К-32,ПАЗ 320402-05,СВ,2012,Евро 3,В 971 НЕ 178
1553,"ООО ""Питеравто""",К-81,ПАЗ 320402-05,СВ,2012,Евро 3,В 977 НЕ 178
1554,"ООО ""Питеравто""",377,ПАЗ 320402-05,СВ,2012,Евро 3,В 992 НЕ 178
1555,"ООО ""Питеравто""",371,ПАЗ 320402-05,СВ,2012,Евро 3,В 993 НЕ 178
1556,"ООО ""Питеравто""",377,ПАЗ 320402-05,СВ,2012,Евро 3,В 998 НЕ 178
1557,"ООО ""Питеравто""",К-31,ПАЗ 320402-05,СВ,2012,Евро 3,В 981 НЕ 178
1558,"ООО ""Питеравто""",2,ПАЗ 320402-05,СВ,2012,Евро 3,В 969 НЕ 178
1559,"ООО ""Питеравто""",К-268,ПАЗ 320402-05,СВ,2012,Евро 3,В 033 НН 178
1560,"ООО ""Питеравто""",К-281,ПАЗ 320402-05,СВ,2012,Евро 3,В 032 НН 178
1561,"ООО ""Питеравто""",К-170,ПАЗ 320402-05,СВ,2012,Евро 3,В 037 НН 178
1562,"ООО ""Питеравто""",К-5,ПАЗ 320402-05,СВ,2012,Евро 3,В 039 НН 178
1563,"ООО ""Питеравто""",К-268,ПАЗ 320402-05,СВ,2012,Евро 3,В 131 НН 178
1564,"ООО ""Питеравто""",К-59,ПАЗ 320402-05,СВ,2012,Евро 3,В 130 НН 178
1565,"ООО ""Питеравто""",К-239,ПАЗ 320402-05,СВ,2012,Евро 3,В 140 НН 178
1566,"ООО ""Питеравто""",К-155а,ПАЗ 320402-05,СВ,2012,Евро 3,В 138 НН 178
1567,"ООО ""Питеравто""",К-118,ПАЗ 320402-05,СВ,2012,Евро 3,В 135 НН 178
1568,"ООО ""Питеравто""",К-521,ПАЗ 320402-05,СВ,2012,Евро 3,В 137 НН 178
1569,"ООО ""Питеравто""",2,ПАЗ 320402-05,СВ,2012,Евро 3,В 141 НН 178
1570,"ООО ""Питеравто""",К-5,ПАЗ 320402-05,СВ,2012,Евро 3,В 139 НН 178
1571,"ООО ""Питеравто""",К-5,ПАЗ 320402-05,СВ,2012,Евро 3,В 036 НН 178
1572,"ООО ""Питеравто""",К-118,ПАЗ 320402-05,СВ,2012,Евро 3,В 038 НН 178
1573,"ООО ""Питеравто""",К-253,ПАЗ 320402-05,СВ,2012,Евро 3,В 040 НН 178
1574,"ООО ""Питеравто""",К-254,ПАЗ 320402-05,СВ,2012,Евро 3,В 042 НН 178
1575,"ООО ""Питеравто""",К-239,ПАЗ 320402-05,СВ,2012,Евро 3,В 044 НН 178
1576,"ООО ""Питеравто""",К-296А,ПАЗ 320402-05,СВ,2012,Евро 3,В 047 НН 178
1577,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 049 НН 178
1578,"ООО ""Питеравто""",К-246,ПАЗ 320402-05,СВ,2012,Евро 3,В 048 НН 178
1579,"ООО ""Питеравто""",К-118,ПАЗ 320402-05,СВ,2012,Евро 3,В 050 НН 178
