Номер,Наименование перевозчика,Номер маршрута,"Марка, модель автобуса",Тип вместимости (ОБ БВ СВ),Год выпуска автобуса,Класс экологической безопасности,Государственный регистрационный знак
74,"ОАО ""АТП-31""",К-200,КаВЗ 4235,СВ,2010,Евро 3,В 482 АХ 178
75,"ОАО ""АТП-31""",К-200,КаВЗ 4235,СВ,2010,Евро 3,В 483 АХ 178
76,"ОАО ""АТП-31""",К-200,КаВЗ 4235,СВ,2010,Евро 3,В 484 АХ 178
77,"ОАО ""АТП-31""",К-200,КаВЗ 4235,СВ,2010,Евро 3,В 485 АХ 178
78,"ОАО ""АТП-31""",К-200,КаВЗ 4235,СВ,2010,Евро 3,В 486 АХ 178
79,"ОАО ""АТП-31""",К-200,КаВЗ 4235,СВ,2010,Евро 3,В 487 АХ 178
80,"ОАО ""АТП-31""",К-200,КаВЗ 4235,СВ,2010,Евро 3,В 488 АХ 178
81,"ОАО ""АТП-31""",К-123,ПАЗ 320402-03,СВ,2011,Евро 3,В 653 ВК 178
82,"ОАО ""АТП-31""",К-123,ПАЗ 320402-03,СВ,2010,Евро 3,В 655 ВК 178
83,"ОАО ""АТП-31""",К-123,ПАЗ 320402-03,СВ,2010,Евро 3,В 704 ВА 178
84,"ОАО ""АТП-31""",К-123,ПАЗ 320402-03,СВ,2010,Евро 3,В 705 ВА 178
85,"ОАО ""АТП-31""",К-123,ПАЗ 320402-03,СВ,2010,Евро 3,В 706 ВА 178
86,"ОАО ""АТП-31""",К-123,ПАЗ 320402-03,СВ,2010,Евро 3,В 707 ВА 178
87,"ОАО ""АТП-31""",К-123,ПАЗ 320402-03,СВ,2010,Евро 3,В 709 ВА 178
88,"ОАО ""АТП-31""",К-123,ПАЗ 320402-03,СВ,2010,Евро 3,В 711 ВА 178
89,"ОАО ""АТП-31""",К-123,ПАЗ 320402-03,СВ,2010,Евро 3,В 712 ВА 178
90,"ОАО ""АТП-31""",К-123,ПАЗ 320402-03,СВ,2010,Евро 3,В 713 ВА 178
91,"ОАО ""АТП-31""",К-123,ПАЗ 320402-03,СВ,2010,Евро 3,В 714 ВА 178
92,"ОАО ""АТП-31""",К-123,ПАЗ 320402-03,СВ,2010,Евро 3,В 716 ВА 178
93,"ОАО ""АТП-31""",55,МАЗ 203069,БВ,2012,Евро 5,В 706 ОТ 178
94,"ОАО ""АТП-31""",55,МАЗ 203069,БВ,2012,Евро 5,В 708 ОТ 178
95,"ОАО ""АТП-31""",К-4,МЕРСЕДЕС,СВ,2012,Евро 5,В 701 ОТ 178
96,"ОАО ""АТП-31""",К-4,МЕРСЕДЕС,СВ,2012,Евро 5,В 703 ОТ 178
97,"ОАО ""АТП-31""",К-4,МЕРСЕДЕС,СВ,2012,Евро 5,В 705 ОТ 178
98,"ОАО ""АТП-31""",К-4,МЕРСЕДЕС,СВ,2012,Евро 5,В 709 ОТ 178
99,"ОАО ""АТП-31""",К-4,МЕРСЕДЕС,СВ,2012,Евро 5,В 710 ОТ 178
100,"ОАО ""АТП-31""",К-4,МЕРСЕДЕС,СВ,2012,Евро 5,В 712 ОТ 178
101,"ОАО ""АТП-31""",К-4,МЕРСЕДЕС,СВ,2012,Евро 5,В 714 ОТ 178
102,"ОАО ""АТП-31""",К-4,МЕРСЕДЕС,СВ,2012,Евро 5,В 717 ОТ 178
103,"ОАО ""АТП-31""",К-6к,МЕРСЕДЕС,СВ,2012,Евро 5,В 702 ОТ 178
104,"ОАО ""АТП-31""",К-6к,МЕРСЕДЕС,СВ,2012,Евро 5,В 704 ОТ 178
105,"ОАО ""АТП-31""",К-6к,МЕРСЕДЕС,СВ,2012,Евро 5,В 711 ОТ 178
106,"ОАО ""АТП-31""",К-6к,МЕРСЕДЕС,СВ,2012,Евро 5,В 713 ОТ 178
107,"ОАО ""АТП-31""",К-6к,МЕРСЕДЕС,СВ,2012,Евро 5,В 715 ОТ 178
108,"ОАО ""АТП-31""",К-6к,МЕРСЕДЕС,СВ,2012,Евро 5,В 716 ОТ 178
109,"ОАО ""АТП-31""",К-6к,МЕРСЕДЕС,СВ,2012,Евро 5,В 719 ОТ 178
110,"ОАО ""АТП-31""",К-6к,МЕРСЕДЕС,СВ,2012,Евро 5,В 723 ОТ 178
111,"ОАО ""АТП-31""",резерв К-6к,МЕРСЕДЕС,св,2013,Евро  5,Н 857 РР 178
112,"ОАО ""АТП-31""",резерв К-6к,МЕРСЕДЕС,св,2013,Евро 5,Н  858  РР 178
113,"ОАО ""АТП-31""",резерв К-4,МЕРСЕДЕС,СВ,2012,Евро 5,В 718 ОТ 178
114,"ОАО ""АТП-31""",резерв К-4,МЕРСЕДЕС,СВ,2012,Евро 5,В 720 ОТ 178
115,"ОАО ""АТП-31""",резерв  167,ЛиАЗ 52922,БВ,2010,Евро 3,В 585 ВА 178
116,"ОАО ""АТП-31""",резерв 55,МАЗ 203069,БВ,2012,Евро 3,В 707 ОТ 178
117,"ООО ""АТП Барс 2""",60,ЛиАЗ 52922,БВ,2012,Евро 4,В 711 ТВ 47
118,"ООО ""АТП Барс 2""",60,ЛиАЗ 52922,БВ,2012,Евро 4,В 712 ТВ 47
119,"ООО ""АТП Барс 2""",60,ЛиАЗ 52922,БВ,2012,Евро 4,В 713 ТВ 47
120,"ООО ""АТП Барс 2""",60,ЛиАЗ 52922,БВ,2012,Евро 4,В 715 ТВ 47
121,"ООО ""АТП Барс 2""",60,ЛиАЗ 52922,БВ,2012,Евро 4,В 716 ТВ 47
122,"ООО ""АТП Барс 2""",60,ЛиАЗ 52922,БВ,2012,Евро 4,В 717 ТВ 47
123,"ООО ""АТП Барс 2""",60,ЛиАЗ 52922,БВ,2012,Евро 4,В 718 ТВ 47
124,"ООО ""АТП Барс 2""",60,ЛиАЗ 52922,БВ,2012,Евро 4,В 719 ТВ 47
125,"ООО ""АТП Барс 2""",60,ЛиАЗ 52922,БВ,2012,Евро 4,В 720 ТВ 47
126,"ООО ""АТП Барс 2""",к-240а,ПАЗ 3204,СВ,2012,Евро 4,В 725 ТВ 47
127,"ООО ""АТП Барс 2""",к-240а,ПАЗ 3204,СВ,2012,Евро 4,В 116 СТ 47
128,"ООО ""АТП Барс 2""",к-240а,ПАЗ 3204,СВ,2012,Евро 4,В 651 ТЕ 47
129,"ООО ""АТП Барс 2""",к-240а,ПАЗ 3204,СВ,2012,Евро 4,В 652 ТЕ 47
130,"ООО ""АТП Барс 2""",к-240а,ПАЗ 3204,СВ,2012,Евро 4,В 653 ТЕ 47
131,"ООО ""АТП Барс 2""",к-240а,ПАЗ 3204,СВ,2012,Евро 4,В 654 ТЕ 47
132,"ООО ""АТП Барс 2""",к-240а,ПАЗ 3204,СВ,2012,Евро 4,В 655 ТЕ 47
133,"ООО ""АТП Барс 2""",к-240а,ПАЗ 3204,СВ,2012,Евро 4,В 656 ТЕ 47
134,"ООО ""АТП Барс 2""",к-240а,ПАЗ 3204,СВ,2012,Евро 4,В 657 ТЕ 47
135,"ООО ""АТП Барс 2""",к-240а,ПАЗ 3204,СВ,2012,Евро 4,В 658 ТЕ 47
136,"ООО ""АТП Барс 2""",к-240б,ПАЗ 3204,СВ,2012,Евро 4,В 659 ТЕ 47
137,"ООО ""АТП Барс 2""",к-240б,ПАЗ 3204,СВ,2012,Евро 4,В 660 ТЕ 47
138,"ООО ""АТП Барс 2""",к-240б,ПАЗ 3204,СВ,2012,Евро 4,В 661 ТЕ 47
139,"ООО ""АТП Барс 2""",к-240б,ПАЗ 3204,СВ,2012,Евро 4,В 662 ТЕ 47
140,"ООО ""АТП Барс 2""",к-240б,ПАЗ 3204,СВ,2012,Евро 4,В 663 ТЕ 47
141,"ООО ""АТП Барс 2""",к-240б,ПАЗ 3204,СВ,2012,Евро 4,В 664 ТЕ 47
142,"ООО ""АТП Барс 2""",к-240б,ПАЗ 3204,СВ,2012,Евро 4,В 665 ТЕ 47
143,"ООО ""АТП Барс 2""",к-240б,ПАЗ 3204,СВ,2012,Евро 4,В 666 ТЕ 47
144,"ООО ""АТП Барс 2""",к-240б,ПАЗ 3204,СВ,2012,Евро 4,В 945 СР 47
145,"ООО ""АТП Барс 2""",к-240б,ПАЗ 3204,СВ,2012,Евро 4,В 667 ТЕ 47
146,"ООО ""АТП Барс 2""",К-284,ПАЗ 3204,СВ,2010,Евро 3,В 185 СС 47
147,"ООО ""АТП Барс 2""",К-284,ПАЗ 3204,СВ,2010,Евро 3,В 187 СС 47
148,"ООО ""АТП Барс 2""",К-284,ПАЗ 3204,СВ,2010,Евро 3,В 197 СС 47
149,"ООО ""АТП Барс 2""",К-284,ПАЗ 3204,СВ,2010,Евро 3,В 294 УА 47
150,"ООО ""АТП Барс 2""",К-284,ПАЗ 3204,СВ,2010,Евро 3,В 401 СС 47
151,"ООО ""АТП Барс 2""",К-284,ПАЗ 3204,СВ,2010,Евро 3,В 443 СС 47
152,"ООО ""АТП Барс 2""",К-284,ПАЗ 3204,СВ,2010,Евро 3,В 448 СС 47
153,"ООО ""АТП Барс 2""",К-284,ПАЗ 3204,СВ,2010,Евро 3,В 449 СА 47
154,"ООО ""АТП Барс 2""",К-284,ПАЗ 3204,СВ,2010,Евро 3,В 449 СС 47
155,"ООО ""АТП Барс 2""",К-284,ПАЗ 3204,СВ,2010,Евро 3,В 792 УА 47
156,"ООО ""АТП Барс 2""",К-284,ПАЗ 3204,СВ,2010,Евро 3,В 904 СН 47
157,"ООО ""АТП Барс 2""",К-284,ПАЗ 3204,СВ,2010,Евро 3,В 916 СО 47
158,"ООО ""АТП Барс 2""",К-284,ПАЗ 3204,СВ,2010,Евро 3,В 920 СО 47
159,"ООО ""АТП Барс 2""",К-284,ПАЗ 3204,СВ,2010,Евро 3,В 921 СО 47
160,"ООО ""АТП Барс 2""",К-284,ПАЗ 3204,СВ,2010,Евро 3,В 923 СО 47
161,"ООО ""АТП Барс 2""",К-284,ПАЗ 3204,СВ,2010,Евро 3,В 930 СХ 47
162,"ООО ""АТП Барс 2""",К-284,ПАЗ 3204,СВ,2010,Евро 3,В 941 СО 47
