Идентификатор маршрута,Сокращенное наименование маршрута,Наименование маршрута,Тип маршрута,Тип транспорта,Круговой маршрут,Городской/Пригородный,Ночной
334,172,РЕПИЩЕВА УЛ. - ШУВАЛОВСКИЙ ПР.,3,Автобус,0,1,0
337,93,"АС ""Лахтинский разлив""- пр.Культуры""",3,Автобус,0,1,0
347,21,"АС ""БЕЛОРУССКАЯ УЛ."" - СТ.М. ""ЛАДОЖСКАЯ""",3,Автобус,0,1,0
384,140,"СТ. МОСКОВСКАЯ-СОРТИРОВОЧНАЯ - УЛ. КОЛЛОНТАЙ, 47",3,Автобус,0,1,0
386,92,"БЕЛОРУССКАЯ УЛ. - СТ.МЕТРО ""ЛАДОЖСКАЯ""",3,Автобус,0,1,0
284,435,"АВТОБУСНАЯ СТАНЦИЯ ""УЛ. ЖЕНИ ЕГОРОВОЙ"" - ПОС. ЕЛИЗАВЕТИНКА",3,Автобус,0,0,0
333,134,АФОНСКАЯ УЛ. - ПРИМОРСКИЙ ПР.,3,Автобус,0,1,0
345,7,УЛ. КОРАБЛЕСТРОИТЕЛЕЙ - МОСКОВСКИЙ ВОКЗАЛ,3,Автобус,0,1,0
346,8,"УТКИНА ЗАВОДЬ - СТ.МЕТРО ""ПЛ. АЛЕКСАНДРА НЕВСКОГО""",3,Автобус,0,1,0
348,19,БЕЛОРУССКАЯ УЛ. - МОЛОКОЗАВОД,3,Автобус,0,1,0
364,74,МАЛАЯ БАЛКАНСКАЯ УЛ. - ПЛ. ПРОЛЕТАРСКОЙ ДИКТАТУРЫ,3,Автобус,0,1,0
365,23,"БЕЛОРУССКАЯ УЛ. - НОВО-КОВАЛЕВО, 3 ЛИНИЯ",3,Автобус,0,1,0
367,29,"КАРБЮРАТОРНЫЙ ЗАВОД - СТ. МЕТРО ""МОСКОВСКИЕ ВОРОТА""",3,Автобус,0,1,0
389,476,"С.-ПЕТЕРБУРГ, СТ. МЕТРО ""ЛОМОНОСОВСКАЯ"" - ПОСЕЛОК СВЕРДЛОВА",3,Автобус,0,0,0
424,397,"АВТОБУСНАЯ СТАНЦИЯ ""УЛ. ЖЕНИ ЕГОРОВОЙ"" - ПОС. ПАРГОЛОВО, СПК ""ПРИГОРОДНЫЙ""",3,Автобус,0,1,0
4436,К-174,"г. Пушкин, Славянка - м.КУПЧИНО",3,Автобус,0,1,0
4442,К-4 МЕГА,К-4 МЕГА,3,Автобус,0,1,0
4455,52,"ФИНЛЯНДСКИЙ ВОКЗАЛ - СТ. МЕТРО ""ЛЕСНАЯ"" проект",3,Автобус,0,1,0
4456,46Б,"А.С. ""КРЕСТОВСКИЙ ОСТРОВ"" - ПЛ. АЛЕКСАНДРА НЕВСКОГО",3,Автобус,0,1,0
4480,80Х,АС Жени Егоровой - ж/д ст. Пискарёвка,3,Автобус,0,1,1
4485,142Х,Счастливая ул. - ул. Доблести,3,Автобус,0,1,1
4577,51А,УЛ. ГРИБАКИНЫХ- ЗАВОД ЖЕЛЕЗОБЕТОННЫХ ИЗДЕЛИЙ № 1,3,Автобус,0,1,0
4596,0,АС РУЧЬИ - ТЕАТРАЛЬНАЯ ПЛ.,3,Автобус,0,1,0
4637,Центр 2,Центр 2,3,Автобус,0,0,1
4638,Центр 3,Центр 3,3,Автобус,0,0,1
4639,ВО,Васильевский остров,3,Автобус,0,0,1
4642,ПС ук,Петроградская сторона укороченный,3,Автобус,1,0,1
4656,195У,"ст. метро ""Проспект Ветеранов"" - Южное кладбище",3,Автобус,0,1,0
4677,0,проекты Соболевой,3,Автобус,1,1,0
4696,187А,ЭКСПОФОРУМ ,3,Автобус,0,1,0
4716,187а,"УЛ. КОСТЮШКО - Г. ПУШКИН, ВОКЗАЛ",3,Автобус,0,1,0
4741,3Ч,"А.С. ""КРЕСТОВСКИЙ ОСТРОВ"" - СТ. МЕТРО ""СПОРТИВНАЯ""",3,Автобус,0,1,0
4742,4Ч,НАБ.МАРТЫНОВА-СТ.М.ПЕТРОГРАДСКАЯ,3,Автобус,0,0,0
4758,ПРОЕКТ1,ОСНОВНОЙ,3,Автобус,0,1,0
4759,S2,"А.С. ""КРЕСТОВСКИЙ ОСТРОВ"" - ПЛ. ВОССТАНИЯ",3,Автобус,0,0,0
4776,8 С,река Оккервиль- Смольный,3,Автобус,0,0,0
4816,75а,"АС ""УЛ. ЖЕНИ ЕГОРОВОЙ"" - БЕРЕГОВАЯ УЛ.",3,Автобус,0,1,0
4836,145Б,"А.С. ""КИРОВСКИЙ ЗАВОД"" - ГЕОЛОГИЧЕСКАЯ УЛ.,75",3,Автобус,0,1,0
4838,483Б,"Г.ЗЕЛЕНОГОРСК, ВОКЗАЛ - САНАТОРИЙ ""СОСНОВЫЙ БОР""",3,Автобус,0,0,0
4856,2,проекты маршрутов  Билык,3,Автобус,0,0,0
3852,135/,Пл.Восстания - Исаакиевская пл.,3,Автобус,0,1,0
3877,С-3/1,"СТ. МЕТРО ""ПРИМОРСКАЯ"" - СТ. МЕТРО ""ОБУХОВО""",3,Автобус,0,1,0
3996,А-3,"А. С. ПР.МАРШАЛА ЖУКОВА-СТ.М ""ПР.ВЕТЕРАНОВ""",3,Автобус,0,1,0
4275,392А,"Г.КОЛПИНО, ЗАВОДСКОЙ ПР. - СОВХОЗ ИМ.ТЕЛЬМАНА",3,Автобус,0,1,0
4896,356ш,УЛ. ШАХМАТОВА - Ж.-Д. СТ. СТАРЫЙ ПЕТЕРГОФ,3,Автобус,0,1,0
4938,31А,Костюшко -Александра Невского,3,Автобус,0,1,0
4976,1ЧМА, ,3,Автобус,0,0,0
4979,S5,"Стадион - станция метро ""Спортивная""",3,Автобус,0,0,0
4980,1ЧМБ,.,3,Автобус,0,0,0
4999,000Д,ст.метро ул. Дыбенко - Кудрово,3,Автобус,0,1,0
5000,1Чм,ВЫБОРГСКАЯ-СПОРТИВНАЯ,3,Автобус,0,0,0
5023,1СП,АС Звездная-Ст. М. Ладожская,3,Автобус,0,0,0
5041,2СП,"АС ""Малая балканская""-СТ м.Купчино",3,Автобус,0,0,0
5061,3СП,"АС ""УЛ.Костюшко"" - СТ.метро ""Бухарестская""",3,Автобус,0,0,0
5062,СП02,"АС ""ПР. КУЛЬТУРЫ"" - СТ. М. УДЕЛЬНАЯ",3,Автобус,1,1,0
5142,СП005,"УЛ. СТАСОВОЙ - СТ. М. ""БУХАРЕСТСКАЯ""",3,Автобус,0,1,0
5182,к-446,ж.-д. станция Красное Село - ж.-д. станция Можайская,3,Автобус,0,0,0
5201,К-01,Станция метро «Проспект Просвещения»-ул. 1-го Мая у Успенской дороги,3,Автобус,0,1,0
5202,К-305а,станция метро Старая Деревня» -Приозерная ул.,3,Автобус,0,1,0
5221,320,"Зеленогорск, вокзал - Зеленогорск, вокзал",3,Автобус,1,1,0
5241,К-33,"Станция метро ""Московская"", северный проезд ул. Типанова - ""Аутлет Вилладж Пулково""",3,Автобус,0,0,0
5261,8Б,"ст. метро ""Ломоносовская""-ст. метро  ""Елизаровская""",3,Автобус,0,1,0
5301,359А,"г. ПЕТРОДВОРЕЦ,УНИВЕРСИТЕТ - УЛ. ШАХМАТОВА",3,Автобус,0,1,0
446,100,"НАЛИЧНАЯ УЛ. - СТ. М. ""ВАСИЛЕОСТРОВСКАЯ""",3,Автобус,0,1,0
4482,106Х,АС Пискарёвка - Финляндский вокзал,3,Автобус,0,1,1
4484,130Х,АС Маршала Жукова - ст.метро Московская,3,Автобус,0,1,1
4617,З0Т,УЛ. ПОДВОЙСКОГО-РЖЕВСКАЯ ПЛ.,3,Автобус,0,1,0
4641,ПС,Петроградская сторона,3,Автобус,0,0,1
4658,10а,"ХАСАНСКАЯ УЛ.- СТ. МЕТРО ""НОВОЧЕРКАССКАЯ""10А",3,Автобус,0,1,0
4697,379А,"Г.ПАВЛОВСК, ВОКЗАЛ - СНТ ""ПАВЛОВСКОЕ-2""",3,Автобус,0,1,0
4739,1Ч,СПОРТИВНАЯ УЛ.-СТ.М.ВЫБОРГСКАЯ,3,Автобус,0,1,0
4796,8ТМ,"Хасанская ул. - ст. метро ""Ладожская""",3,Автобус,0,1,0
4977,S3,"СТ. МЕТРО ""ПЕТРОГРАДСКАЯ"" - СТАДИОН",3,Автобус,0,0,0
5203,СП007,Ж.Д. СТ. СОРТИРОВОЧНАЯ- СТ. М. КУПЧИНО,3,Автобус,0,1,0
5321,333,"Г. КОЛПИНО, ЛЕНИНГРАДСКАЯ УЛ. - СЛЕДСТВЕННЫЙ ИЗОЛЯТОР",3,Автобус,0,1,0
5343,202,"А.С. ""Малая Балканская"" - ст. метро ""Бухарестская""",3,Автобус,0,1,0
3878,78 К,"СТ. МЕТРО ""НАРВСКАЯ""",3,Автобус,1,0,0
4115,66/,"АС ""КИРОВСКИЙ ЗАВОД"" - Комсомольская пл.",3,Автобус,0,1,0
4315,54А,"А.С.""МАЛАЯ БАЛКАНСКАЯ УЛ."" - СТ. МЕТРО ""БУХАРЕСТСКАЯ""",3,Автобус,0,1,0
1160,82,"Ж.-Д. СТАНЦИЯ ""ПИСКАРЕВКА"" - СТ. МЕТРО ""ЛАДОЖСКАЯ""",3,Автобус,0,1,0
1180,80,"УЛ. ЖЕНИ ЕГОРОВОЙ - Ж.-Д. СТАНЦИЯ ""ПИСКАРЁВКА""",3,Автобус,0,1,0
1503,25А,"А.С. ""КРЕСТОВСКИЙ ОСТРОВ""-ПР. ДИНАМО-БЕЛООСТРОВСКАЯ УЛ.",3,Автобус,0,1,0
1504,46,ТАЛЛИНСКАЯ УЛ. - БЕЛООСТРОВСКАЯ УЛ.,3,Автобус,0,1,0
1547,189,"УЛ. ГРИБАКИНЫХ - ПОС. САПЕРНЫЙ, МЕБЕЛЬНЫЙ КОМБИНАТ",3,Автобус,0,1,0
1600,128,"АВТОБУСНАЯ СТАНЦИЯ  ""НАЛИЧНАЯ УЛ."" - АПТЕКАРСКАЯ НАБ.",3,Автобус,0,1,0
1621,81,СЧАСТЛИВАЯ УЛ. - ПОС. ТОРИКИ,3,Автобус,0,1,0
1661,1Л,"Г. ЛОМОНОСОВ, ВОКЗАЛ - МАЛАЯ ИЖОРА",3,Автобус,0,1,0
1662,2КР,"Г.КРОНШТАДТ, ЛЕНИНГРАДСКАЯ ПРИСТАНЬ-ФОРТ ""ШАНЦ""",3,Автобус,0,1,0
1663,3КР,"Г.КРОНШТАДТ, ЛЕНИНГРАДСКАЯ ПРИСТАНЬ-КВАРТАЛ 19-Б",3,Автобус,0,1,0
1664,3Л,"Г. ЛОМОНОСОВ, ВОКЗАЛ - Г. ЛОМОНОСОВ, ВОКЗАЛ",3,Автобус,1,1,0
1669,10,"А.С.""КРЕСТОВСКИЙ ОСТРОВ""-БАЛТИЙСКИЙ ВОКЗАЛ",3,Автобус,0,1,0
1672,18А,"УЛ.СТОЙКОСТИ - СТАНЦИЯ МЕТРО ""ЛЕНИНСКИЙ ПРОСПЕКТ""",3,Автобус,0,1,0
1673,25,"А.С.""КРЕСТОВСКИЙ ОСТРОВ""-БЕЛООСТРОВСКАЯ УЛ.",3,Автобус,0,1,0
